Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
12:30 pm,27.1,27.3,56,ESE,13 7,–,1006.0,0.0,2025-11-23
12:00 pm,26.3,28.8,69,NW,7 4,–,1006.4,0.0,2025-11-23
11:30 am,24.7,27.0,73,WNW,6 3,–,1006.9,0.0,2025-11-23
11:00 am,23.5,25.6,78,WNW,7 4,–,1007.3,0.0,2025-11-23
10:30 am,22.9,25.6,85,WSW,6 3,–,1007.6,0.0,2025-11-23
10:00 am,21.4,23.4,92,WNW,9 5,–,1008.1,0.0,2025-11-23
9:30 am,19.8,20.6,95,WNW,13 7,–,1008.5,0.0,2025-11-23
9:00 am,19.4,21.4,96,WNW,6 3,–,1008.7,11.2,2025-11-23
8:30 am,19.2,21.2,97,NW,6 3,–,1008.8,11.2,2025-11-23
8:00 am,19.0,21.7,98,SW,2 1,–,1008.6,11.2,2025-11-23
7:30 am,18.5,20.6,98,ENE,4 2,–,1008.4,10.8,2025-11-23
7:19 am,18.4,19.5,97,W,9 5,–,1009.1,10.0,2025-11-23
7:09 am,18.4,17.4,97,W,20 11,–,1009.8,8.8,2025-11-23
7:00 am,18.5,17.7,97,W,19 10,–,1009.7,7.0,2025-11-23
6:30 am,18.5,18.1,97,W,17 9,–,1009.4,5.8,2025-11-23
6:00 am,18.3,18.9,97,W,11 6,–,1009.4,5.8,2025-11-23
5:30 am,18.3,19.3,97,W,9 5,–,1009.4,5.8,2025-11-23
5:00 am,18.3,19.7,97,WNW,7 4,–,1009.5,5.8,2025-11-23
4:30 am,18.3,18.9,97,WNW,11 6,–,1009.9,5.8,2025-11-23
4:00 am,18.4,19.8,97,W,7 4,–,1010.0,5.8,2025-11-23
3:30 am,18.4,18.7,97,W,13 7,–,1010.3,5.8,2025-11-23
3:00 am,18.4,19.5,97,W,9 5,–,1010.5,5.8,2025-11-23
2:30 am,18.6,19.7,97,WNW,9 5,–,1010.6,5.8,2025-11-23
2:00 am,18.6,19.7,97,W,9 5,–,1010.9,5.8,2025-11-23
1:30 am,18.6,19.4,97,WNW,11 6,–,1011.6,5.8,2025-11-23
1:00 am,18.7,19.5,97,W,11 6,–,1012.2,5.8,2025-11-23
12:30 am,18.8,19.3,97,WNW,13 7,–,1012.5,5.8,2025-11-23
12:00 am,18.9,19.7,96,WNW,11 6,–,1013.0,5.8,2025-11-23
11:30 pm,19.3,19.1,96,W,17 9,–,1013.9,5.8,2025-11-22
11:00 pm,19.8,22.3,95,NNW,4 2,–,1014.2,5.6,2025-11-22
10:30 pm,20.5,22.8,96,E,7 4,–,1014.3,5.4,2025-11-22
10:00 pm,20.3,21.7,96,ESE,11 6,–,1014.3,5.4,2025-11-22
9:30 pm,20.3,20.6,96,E,17 9,–,1014.3,5.4,2025-11-22
9:00 pm,20.3,20.6,95,ESE,17 9,–,1014.4,4.2,2025-11-22
8:30 pm,20.1,20.6,95,ESE,15 8,–,1014.5,4.2,2025-11-22
8:00 pm,20.0,20.1,95,ESE,17 9,–,1014.6,4.2,2025-11-22
