Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Cloud,Cloud Oktas,Date
06:00 am,15.1,12.1,54.0,WNW,11.0 6.0,– –,1008.7,0.0,-,-9999.0,2025-11-18
05:30 am,14.4,11.7,56.0,WNW,9.0 5.0,– –,1008.3,0.0,-,-9999.0,2025-11-18
05:00 am,15.0,12.0,54.0,WNW,11.0 6.0,– –,1007.8,0.0,-,-9999.0,2025-11-18
04:30 am,15.4,12.8,54.0,WNW,9.0 5.0,– –,1007.7,0.0,-,-9999.0,2025-11-18
04:00 am,15.6,13.3,52.0,WNW,7.0 4.0,– –,1007.7,0.0,-,-9999.0,2025-11-18
03:30 am,15.7,12.8,48.0,NW,9.0 5.0,– –,1007.7,0.0,-,-9999.0,2025-11-18
03:00 am,15.9,12.2,47.0,W,13.0 7.0,– –,1007.6,0.0,-,-9999.0,2025-11-18
02:30 am,16.2,12.6,47.0,W,13.0 7.0,– –,1007.7,0.0,-,-9999.0,2025-11-18
02:00 am,16.8,12.4,45.0,W,17.0 9.0,– –,1007.8,0.0,-,-9999.0,2025-11-18
01:30 am,17.1,11.9,41.0,W,20.0 11.0,– –,1007.7,0.0,-,-9999.0,2025-11-18
01:00 am,17.3,12.4,42.0,W,19.0 10.0,– –,1007.7,0.0,-,-9999.0,2025-11-18
12:30 am,17.5,12.5,42.0,W,20.0 11.0,– –,1007.8,0.0,-,-9999.0,2025-11-18
12:00 am,17.8,12.3,40.0,W,22.0 12.0,– –,1007.6,0.0,-,-9999.0,2025-11-18
11:30 pm,18.2,13.1,37.0,W,19.0 10.0,– –,1007.7,0.0,-,-9999.0,2025-11-17
11:00 pm,18.4,13.7,36.0,W,17.0 9.0,– –,1007.7,0.0,-,-9999.0,2025-11-17
10:30 pm,18.7,14.0,35.0,W,17.0 9.0,– –,1007.6,0.0,-,-9999.0,2025-11-17
10:00 pm,19.2,13.5,33.0,W,22.0 12.0,– –,1007.1,0.0,-,-9999.0,2025-11-17
09:30 pm,19.5,14.2,31.0,W,19.0 10.0,– –,1006.6,0.0,-,-9999.0,2025-11-17
09:00 pm,19.9,16.1,30.0,WSW,11.0 6.0,– –,1005.8,0.0,-,-9999.0,2025-11-17
08:30 pm,20.4,17.1,30.0,SW,9.0 5.0,– –,1005.5,0.0,-,-9999.0,2025-11-17
08:00 pm,21.0,16.1,28.0,WSW,17.0 9.0,– –,1004.8,0.0,-,-9999.0,2025-11-17
07:30 pm,21.5,17.3,27.0,WSW,13.0 7.0,– –,1004.2,0.0,-,-9999.0,2025-11-17
07:00 pm,22.3,18.9,26.0,SSW,9.0 5.0,– –,1003.4,0.0,-,-9999.0,2025-11-17
06:30 pm,22.8,18.7,26.0,SE,13.0 7.0,– –,1003.2,0.0,-,-9999.0,2025-11-17
06:00 pm,23.2,18.4,26.0,SE,17.0 9.0,– –,1002.4,0.0,-,-9999.0,2025-11-17
05:30 pm,23.4,19.0,26.0,SW,15.0 8.0,– –,1002.0,0.0,-,-9999.0,2025-11-17
05:00 pm,23.4,20.3,27.0,WSW,9.0 5.0,– –,1001.9,0.0,-,-9999.0,2025-11-17
04:30 pm,23.0,19.2,29.0,W,13.0 7.0,– –,1002.1,0.0,-,-9999.0,2025-11-17
04:00 pm,23.3,18.8,29.0,SW,17.0 9.0,– –,1002.3,0.0,-,-9999.0,2025-11-17
03:30 pm,21.9,17.1,32.0,WSW,19.0 10.0,– –,1002.3,0.0,-,-9999.0,2025-11-17
03:00 pm,21.9,17.4,31.0,WSW,17.0 9.0,– –,1002.5,0.0,-,-9999.0,2025-11-17
02:30 pm,21.7,16.8,31.0,SW,19.0 10.0,– –,1002.5,0.0,-,-9999.0,2025-11-17
02:00 pm,21.1,16.1,34.0,WSW,20.0 11.0,– –,1002.8,0.0,-,-9999.0,2025-11-17
01:30 pm,21.2,15.7,32.0,WSW,22.0 12.0,– –,1002.8,0.0,-,-9999.0,2025-11-17
01:00 pm,21.7,16.6,32.0,SW,20.0 11.0,– –,1002.6,0.0,-,-9999.0,2025-11-17
12:30 pm,20.6,15.4,30.0,WSW,19.0 10.0,– –,1002.8,0.0,-,-9999.0,2025-11-17
12:00 pm,20.8,13.9,30.0,WSW,28.0 15.0,– –,1002.8,0.0,-,-9999.0,2025-11-17
11:30 am,21.5,14.5,28.0,W,28.0 15.0,– –,1002.8,0.0,-,-9999.0,2025-11-17
11:00 am,21.2,14.4,30.0,WSW,28.0 15.0,– –,1002.7,0.0,-,-9999.0,2025-11-17
10:30 am,21.1,12.7,27.0,W,35.0 19.0,– –,1002.4,0.0,-,-9999.0,2025-11-17
10:00 am,21.7,14.8,28.0,W,28.0 15.0,– –,1002.3,0.0,-,-9999.0,2025-11-17
09:30 am,20.7,14.0,33.0,WSW,28.0 15.0,– –,1002.2,0.0,-,-9999.0,2025-11-17
09:00 am,20.0,13.9,37.0,WSW,26.0 14.0,– –,1001.9,0.0,-,-9999.0,2025-11-17
08:30 am,18.8,14.1,41.0,WSW,19.0 10.0,– –,1002.4,0.0,-,-9999.0,2025-11-17
08:00 am,18.6,15.0,41.0,W,13.0 7.0,– –,1002.2,0.0,-,-9999.0,2025-11-17
07:30 am,18.4,14.1,42.0,WSW,17.0 9.0,– –,1002.3,0.0,-,-9999.0,2025-11-17
07:00 am,18.4,14.1,47.0,SW,19.0 10.0,– –,1002.4,0.0,-,-9999.0,2025-11-17
06:30 am,18.6,14.3,46.0,SW,19.0 10.0,– –,1002.0,0.0,-,-9999.0,2025-11-17
06:00 am,18.9,15.7,45.0,SW,13.0 7.0,– –,1001.6,0.0,-,-9999.0,2025-11-17
05:30 am,18.8,16.3,45.0,WSW,9.0 5.0,– –,1001.7,0.0,-,-9999.0,2025-11-17
05:00 am,18.7,16.4,48.0,W,9.0 5.0,– –,1000.9,0.0,-,-9999.0,2025-11-17
04:30 am,19.6,16.2,46.0,W,15.0 8.0,– –,1000.5,0.0,-,-9999.0,2025-11-17
04:00 am,20.8,17.5,39.0,WSW,13.0 7.0,– –,999.9,0.0,-,-9999.0,2025-11-17
03:30 am,21.1,17.2,40.0,W,17.0 9.0,– –,999.7,0.0,-,-9999.0,2025-11-17
03:00 am,20.9,17.9,42.0,W,13.0 7.0,– –,999.9,0.0,-,-9999.0,2025-11-17
02:30 am,19.3,17.6,60.0,W,11.0 6.0,– –,1000.1,0.0,-,-9999.0,2025-11-17
02:00 am,20.0,18.1,45.0,W,7.0 4.0,– –,1000.5,0.0,-,-9999.0,2025-11-17
01:30 am,20.2,18.4,50.0,WNW,9.0 5.0,– –,1000.9,0.0,-,-9999.0,2025-11-17
01:00 am,20.6,18.7,48.0,WNW,9.0 5.0,– –,1001.0,0.0,-,-9999.0,2025-11-17
12:30 am,21.6,19.8,41.0,WNW,7.0 4.0,– –,1001.1,0.0,-,-9999.0,2025-11-17
12:00 am,22.2,20.9,39.0,WNW,4.0 2.0,– –,1001.3,0.0,-,-9999.0,2025-11-17
11:30 pm,23.1,21.2,31.0,SW,4.0 2.0,– –,1001.4,0.0,-,-9999.0,2025-11-16
11:00 pm,24.3,22.0,28.0,WSW,6.0 3.0,– –,1001.5,0.0,-,-9999.0,2025-11-16
10:30 pm,24.7,23.2,28.0,WSW,2.0 1.0,– –,1001.4,0.0,-,-9999.0,2025-11-16
10:00 pm,23.8,21.6,32.0,ESE,7.0 4.0,– –,1001.5,0.0,-,-9999.0,2025-11-16
09:30 pm,21.9,23.0,68.0,S,4.0 2.0,– –,1001.3,0.0,-,-9999.0,2025-11-16
09:00 pm,22.4,23.8,69.0,ESE,4.0 2.0,– –,1000.9,0.0,-,-9999.0,2025-11-16
08:30 pm,22.7,24.4,67.0,NE,2.0 1.0,– –,1000.7,0.0,-,-9999.0,2025-11-16
08:00 pm,23.0,24.7,66.0,SE,2.0 1.0,– –,1000.5,0.0,-,-9999.0,2025-11-16
07:30 pm,23.1,22.2,68.0,ENE,17.0 9.0,– –,1000.1,0.0,-,-9999.0,2025-11-16
07:00 pm,23.8,23.4,59.0,ENE,11.0 6.0,– –,999.8,0.0,-,-9999.0,2025-11-16
06:30 pm,24.2,21.0,54.0,ENE,24.0 13.0,– –,999.4,0.0,-,-9999.0,2025-11-16
06:00 pm,24.8,21.5,51.0,E,24.0 13.0,– –,999.0,0.0,-,-9999.0,2025-11-16
05:30 pm,26.3,23.0,43.0,E,22.0 12.0,– –,999.3,0.0,-,-9999.0,2025-11-16
05:00 pm,29.6,25.4,29.0,ENE,22.0 12.0,– –,999.2,0.0,-,-9999.0,2025-11-16
04:30 pm,31.3,26.0,19.0,E,22.0 12.0,– –,999.4,0.0,-,-9999.0,2025-11-16
04:00 pm,28.5,26.2,43.0,E,20.0 11.0,– –,999.8,0.0,-,-9999.0,2025-11-16
03:30 pm,28.0,24.7,42.0,E,24.0 13.0,– –,999.8,0.0,-,-9999.0,2025-11-16
03:00 pm,28.9,25.2,34.0,ENE,22.0 12.0,– –,1000.2,0.0,-,-9999.0,2025-11-16
02:30 pm,28.1,25.3,38.0,E,19.0 10.0,– –,1000.5,0.0,-,-9999.0,2025-11-16
02:00 pm,28.9,25.3,38.0,ENE,24.0 13.0,– –,1001.0,0.0,-,-9999.0,2025-11-16
01:30 pm,28.0,24.4,39.0,E,24.0 13.0,– –,1001.3,0.0,-,-9999.0,2025-11-16
01:00 pm,30.7,26.9,30.0,E,22.0 12.0,– –,1001.6,0.0,-,-9999.0,2025-11-16
12:30 pm,29.5,27.4,29.0,WNW,11.0 6.0,– –,1002.2,0.0,-,-9999.0,2025-11-16
12:00 pm,28.9,27.3,31.0,WNW,9.0 5.0,– –,1002.7,0.0,-,-9999.0,2025-11-16
11:30 am,28.4,27.7,39.0,WNW,9.0 5.0,– –,1003.1,0.0,-,-9999.0,2025-11-16
11:00 am,27.0,28.3,48.0,N,2.0 1.0,– –,1003.6,0.0,-,-9999.0,2025-11-16
10:30 am,25.5,26.2,54.0,E,6.0 3.0,– –,1003.8,0.0,-,-9999.0,2025-11-16
10:00 am,24.8,25.9,60.0,NE,6.0 3.0,– –,1003.9,0.0,-,-9999.0,2025-11-16
09:30 am,23.3,24.0,62.0,SSE,6.0 3.0,– –,1004.2,0.0,-,-9999.0,2025-11-16
09:00 am,23.2,23.9,58.0,SSE,4.0 2.0,– –,1004.1,0.4,-,-9999.0,2025-11-16
08:30 am,22.5,22.5,63.0,S,9.0 5.0,– –,1004.1,0.4,-,-9999.0,2025-11-16
08:00 am,22.0,21.8,57.0,WSW,6.0 3.0,– –,1003.6,0.4,-,-9999.0,2025-11-16
07:30 am,21.1,20.6,68.0,WNW,11.0 6.0,– –,1003.3,0.4,-,-9999.0,2025-11-16
07:00 am,20.7,21.8,72.0,WNW,4.0 2.0,– –,1003.1,0.4,-,-9999.0,2025-11-16
06:30 am,19.8,20.3,86.0,WNW,11.0 6.0,– –,1002.9,0.4,-,-9999.0,2025-11-16
06:00 am,19.6,20.7,90.0,WNW,9.0 5.0,– –,1003.0,0.4,-,-9999.0,2025-11-16
05:30 am,19.6,20.3,90.0,WNW,11.0 6.0,– –,1002.8,0.4,-,-9999.0,2025-11-16
